training_seed,epoch,backbone_lr,classifier_lr,train_loss,train_roc_auc,train_accuracy,train_balanced_accuracy,train_f1,train_sensitivity,train_specificity,val_loss,val_roc_auc,val_accuracy,val_balanced_accuracy,val_f1,val_sensitivity,val_specificity,epoch_seconds
44,1,0.0001,0.0005,0.6577589972474516,0.6298599829099503,0.5975020145044319,0.5735854555236729,0.4526027397260274,0.3795955882352941,0.7675753228120517,0.689937074403256,0.6035281353668969,0.5636070853462157,0.5845052056166413,0.6457516339869281,0.8606271777003485,0.3083832335329341,507.7451503276825
44,2,0.0001,0.0005,0.5923406881828831,0.7346357683137816,0.6627719580983078,0.6511612266857962,0.5915080527086384,0.5569852941176471,0.7453371592539455,0.6587362276951088,0.6608577270546017,0.6135265700483091,0.6294414655010536,0.667590027700831,0.8397212543554007,0.41916167664670656,419.2748329639435
44,3,0.0001,0.0005,0.5554955375473121,0.7805079146974427,0.7159548751007252,0.7105115674318507,0.6728538283062645,0.6663602941176471,0.7546628407460545,0.6270685196882668,0.7106814246072315,0.6360708534621579,0.6477028521354503,0.6705539358600583,0.8013937282229965,0.4940119760479042,421.22119903564453
44,4,0.0001,0.0005,0.5422552952739522,0.7889214015950714,0.7050765511684126,0.7002219332855093,0.6626728110599078,0.6608455882352942,0.7395982783357246,0.6079189929025377,0.7168780905088777,0.6392914653784219,0.6394197667383004,0.6216216216216216,0.6411149825783972,0.6377245508982036,417.79596304893494
44,5,0.0001,0.0005,0.50498736067994,0.8248955608068193,0.7433521353746978,0.7382308106169297,0.7041337668369717,0.6966911764705882,0.7797704447632712,0.636782067793387,0.7140875044336414,0.6570048309178744,0.6539255982807903,0.6230088495575221,0.6132404181184669,0.6946107784431138,419.0717897415161
44,6,0.0001,0.0005,0.4747994543562773,0.8478062494725292,0.7643029814665592,0.7603120516499282,0.7302904564315352,0.7279411764705882,0.7926829268292683,0.6389779509937513,0.7430991675186213,0.6409017713365539,0.6252268981201361,0.5183585313174947,0.4181184668989547,0.8323353293413174,419.2326638698578
44,7,0.0001,0.0005,0.44935527475104997,0.8665792603806227,0.7836422240128929,0.7791427546628408,0.7505805852299118,0.7426470588235294,0.8156384505021521,0.7931778489487566,0.720774478916731,0.6296296296296297,0.6463727597070668,0.6840659340659341,0.867595818815331,0.4251497005988024,415.6971595287323
44,8,0.0001,0.0005,0.40901514510777953,0.8915833482783357,0.8017727639000806,0.7967965387374463,0.7698783910196445,0.7564338235294118,0.8371592539454806,0.6932276152854189,0.7209518245738489,0.644122383252818,0.6529814934590749,0.6666666666666666,0.7700348432055749,0.5359281437125748,423.7068552970886
44,9,5e-05,0.00025,0.38202205259506017,0.9069680194531184,0.8227236099919419,0.8208953550932567,0.7994530537830447,0.8060661764705882,0.8357245337159254,0.765927770431491,0.7455194141334057,0.6505636070853462,0.6670596090049865,0.7006896551724138,0.8850174216027874,0.4491017964071856,430.828661441803
44,10,5e-05,0.00025,0.34310752321499954,0.9255976242720905,0.8464947622884771,0.8432680236728838,0.8235294117647058,0.8170955882352942,0.8694404591104734,0.8061801388547808,0.7341901562728201,0.6505636070853462,0.63715078553694,0.5488565488565489,0.45993031358885017,0.8143712574850299,424.40480852127075
44,11,5e-05,0.00025,0.3223181372684015,0.9348445148324753,0.8593875906526994,0.8562589670014347,0.8382012053778396,0.8308823529411765,0.8816355810616929,0.7726300090503385,0.7412005257777129,0.6747181964573269,0.6772569842892613,0.6688524590163935,0.710801393728223,0.6437125748502994,420.4429829120636
44,12,2.5e-05,0.000125,0.3048050851710471,0.9419706436197146,0.8614020950846092,0.8586576398852224,0.8410351201478743,0.8363970588235294,0.8809182209469153,0.8200604128088929,0.740939723340775,0.6618357487922706,0.6527780675582633,0.5930232558139535,0.5331010452961672,0.7724550898203593,421.2168769836426
