image_path,file_exists,read_success,read_error,file_size_bytes,file_sha256,pixel_sha256,image_mode,image_dtype,height,width,channels,pixel_min,pixel_max,pixel_mean,pixel_std,nonzero_fraction,is_constant,foreground_centroid_x,left_edge_occupancy,right_edge_occupancy,edge_orientation_proxy
/content/external_datasets/cmmd/CMMD/Cancer/D1-0033_1-2.png,True,True,,291848,570bcfda19dcdaf864b4fc2f2c2cd3ab307baf3a14e059d73bb58312cdf37613,3820c0e9a12adbdb3b26cd57fa92616db2073be4b394e4c3b2b96f507b34b94f,L,uint8,1280,386,1,0.0,254.0,54.71047592163086,36.698265075683594,0.8921753562176166,False,0.5306472228713874,0.6305288461538462,0.9956931089743589,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D1-0033_1-1.png,True,True,,242170,dff2cdd27081f5bd2eec246c813511bd328647b8e199e64632d8f7282532f101,7ef8cf629775030905533036cfc88ad291d77649b375716527de0ba4cfda853f,L,uint8,1280,422,1,0.0,253.0,42.28142166137695,41.21664047241211,0.6721008590047394,False,0.610684269398826,0.18084077380952382,0.9831287202380953,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0230_1-2.png,True,True,,240736,139623c802a6aa458c419999304036b735a61bb9f63e9dfeb48449c463c00b18,af667a76aecf85f2ea55782ce62bd638bdba27351bc3b87124de0f3ef763f66d,L,uint8,1280,482,1,0.0,245.0,37.020748138427734,46.3685302734375,0.7230403915975103,False,0.39680081909536746,0.9554361979166667,0.18453776041666667,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0230_1-4.png,True,True,,341051,617000ee618857e1eaf4419717a2b7086e84e02ab85f82fb05c30ac060e96289,423c4df554df76326cdf92c1f028abb2ea0dc2ba36e11f36fa47d271c5a42c81,L,uint8,1280,518,1,0.0,253.0,42.69480895996094,40.89281463623047,0.7570508566602316,False,0.5990097148343805,0.20712139423076922,0.9981520432692308,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0230_1-3.png,True,True,,375330,63f758e84e32a01cc3dfa43de937711dd05a9840cabc5ad625cf1830c023c1a8,6633a14638bf5e7b3640801eb59882fcd56bc201d1ba1fbd8928ef8346f66a7b,L,uint8,1280,629,1,0.0,246.0,39.26374053955078,37.11564254760742,0.7108766395071542,False,0.6016942761595883,0.17074652777777777,0.9919890873015873,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0230_1-1.png,True,True,,303056,c135043f106393203aefa3d71be940d2ef2c90911ddb0efa560c076b809887ba,b8d98bbdcc6c0930717fb6c91c5570a7d8d4f5e912a79d9e3159ce7b872bd44a,L,uint8,1280,556,1,0.0,252.0,43.173641204833984,57.10874557495117,0.7408568457733813,False,0.43266989746716444,0.7324358258928572,0.24705636160714287,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D1-1575_1-2.png,True,True,,285117,1d588152def77b03b398b73e8f25aeecb6a5065eae002c7cf104ace6599fefef,0d9ebb1c8c9839a5ea81d915f46c88de41da6bd2ad2167ff9ac00cab90a0b038,L,uint8,1280,516,1,0.0,252.0,26.44249725341797,40.04335403442383,0.8317254118217055,False,0.644229758768535,0.02219050480769231,0.7975811298076924,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D1-1575_1-1.png,True,True,,264770,b368430914e81eebbccdb71f166fece6e865e2b7e535ed38daf5b11aedf38e50,a9ad009bcace234f19d333699d83609dbf96b3845f27de029ad9d1cfbfd3ac5d,L,uint8,1280,521,1,0.0,255.0,28.466548919677734,46.90442657470703,0.7328799784069098,False,0.618280744170261,0.038807091346153844,0.799639423076923,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D1-0889_1-2.png,True,True,,354680,cdcf44cdd3f128ba4da1a716a053dc5ea3bb5f281a6397e0c18d3c5f5c4870d9,693006bf4caf46bd71d7d56d64d2748844cb9937199bbf588be463b2290e0730,L,uint8,1280,652,1,0.0,251.0,30.81148338317871,43.41555404663086,0.7944629505368098,False,0.39818015439684484,0.7121995192307692,0.04746394230769231,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D1-0889_1-1.png,True,True,,324731,e9d4e3b6b60bf7a1c777cabd300e048d320f611fa21637c7810f34908f155302,8706bf101e1263a4df4ce6ecb6a8832eb0af11e390d21ac3f36dde25abd4cdbb,L,uint8,1280,614,1,0.0,249.0,35.3209342956543,42.910099029541016,0.65787230252443,False,0.37317299735979775,0.9648693647540983,0.05732581967213115,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0257_1-2.png,True,True,,250236,c243571316dc931db934fd80a56c5ad9d3828d455299f73d507a83b2799dd51a,96f6990eec50dde940eb45745b259afde55165d3c02202e20c52a949b6501cb5,L,uint8,1280,466,1,0.0,247.0,24.045352935791016,36.851654052734375,0.8018240343347639,False,0.34638738076555103,0.7761635638297872,0.0897938829787234,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0257_1-4.png,True,True,,334124,5b8e380ae39d3a3c94057bcbbc418970cde818c9d1f87694e245e57d0e856c66,9199d4636618c2ab21ce9b89d580ca4ab0dc3ca197bdb60102c7ebb9d84601a1,L,uint8,1280,482,1,0.0,247.0,48.877349853515625,46.14613342285156,0.847413122406639,False,0.554270750691265,0.32049153645833334,0.9399576822916667,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0257_1-3.png,True,True,,240094,041d5ea54f5c8fcb39bc8d86e5a11619a3f3b120cb9999dfb3af4d487eabad69,15d5b1c9716195b9ad5a437b05a31ac02ccbf4295c16d485e7268c40469cd3da,L,uint8,1280,474,1,0.0,253.0,28.139850616455078,39.16929626464844,0.6741149129746835,False,0.6208574041138145,0.11042220744680852,0.9790059840425532,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0257_1-1.png,True,True,,243565,1a9f928de138558672815255a95d74244535c9aff0eddaa52e72d175d5e5102f,c3ef512852f2f6f6b8469de1b974a8ce859cfa1899740376e2802fa7cfaf3c01,L,uint8,1280,466,1,0.0,253.0,33.014278411865234,47.27618408203125,0.699956410944206,False,0.3852822159236075,0.9566655585106383,0.14868683510638298,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0290_1-2.png,True,True,,250037,db458152dca1cc9c4f634574c0a165fa2d46d7c111a614601e69d58ae5f2f74a,e1a11c02f1a190335776e29b23e1e359a6c109f8c899769bcaea41bf2ad4a14f,L,uint8,1280,541,1,0.0,247.0,19.15288734436035,32.83009719848633,0.6948475046210721,False,0.3356008432037762,0.8896122685185185,0.031843171296296297,foreground_touches_left_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0290_1-4.png,True,True,,333978,7a88a0b5a45422320027ec52194ec2f57ab2d472d4520106f3259a417a3d4192,85252a1f7759de70e2d8173337207ce78000c2047e01a445afa2ce59743909c2,L,uint8,1280,556,1,0.0,249.0,39.77031326293945,41.64897155761719,0.7181528214928058,False,0.6171733254286114,0.11921037946428571,1.0,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0290_1-3.png,True,True,,313096,cf7fb4beac8223e95244f58a2d8c939c6ee05ee72a9d09565df8e9f6b663ed04,2d7116279633daa5b16c29f0a9362572472a5c2e81bbe775c649ce028cb3fa95,L,uint8,1280,597,1,0.0,253.0,34.8250732421875,37.94874954223633,0.6449853433835846,False,0.6263540715460898,0.0983203125,0.987421875,foreground_touches_right_edge
/content/external_datasets/cmmd/CMMD/Cancer/D2-0290_1-1.png,True,True,,279598,8979ec623700453b57a470102b9426d052ddd7fb51115164d530ebd82dddccea,4c8c9fc10f3be48ef79acd96b4e2935d4e34c8b4897d5fd0b18f5e9ea79aaa19,L,uint8,1280,590,1,0.0,248.0,24.0492000579834,35.519229888916016,0.6519014830508475,False,0.36008279437790414,0.9412870762711865,0.04733845338983051,foreground_touches_left_edge
